Time,Open,High,Low,Last,Change,%Chg,Volume
01/22/2019,146.46,146.76,144.05,145,-2.33,-1.58%,27741100
01/23/2019,145.32,146.18,143.46,144.6,-0.4,-0.28%,20621200
01/24/2019,144.43,145.76,144.33,145.47,0.87,+0.60%,16976300
01/25/2019,146.62,147.64,146.43,147.34,1.87,+1.29%,22266800
01/28/2019,145.96,146.91,145.37,146.55,-0.79,-0.54%,22784700
01/29/2019,146.71,146.82,145.88,146.2,-0.35,-0.24%,12084700
01/30/2019,146.98,148.34,145.68,147.8,1.6,+1.09%,25516800
01/31/2019,147.61,149.3,147.53,149.06,1.26,+0.85%,27252900
02/01/2019,149.35,149.68,148.58,149.18,0.12,+0.08%,17057800
02/04/2019,149.41,150.97,148.875,150.96,1.78,+1.19%,21301600
02/05/2019,151.01,151.6,150.24,151.12,0.16,+0.11%,18295900
02/06/2019,151.04,151.37,150.1,150.93,-0.19,-0.13%,13720500
02/07/2019,149.92,150.7,148.39,149.69,-1.24,-0.82%,22850700
02/08/2019,149.06,149.9,148.5,149.85,0.16,+0.11%,13463000
02/11/2019,150.29,151.15,149.63,151.1,1.25,+0.83%,16374700
02/12/2019,151.92,153.19,151.88,152.99,1.89,+1.25%,20779900
02/13/2019,153.42,153.76,152.7,153.42,0.43,+0.28%,15534400
02/14/2019,152.58,154.37,152.4,153.77,0.35,+0.23%,18250900
02/15/2019,154.78,156.24,154.27,156.22,2.45,+1.59%,27240200
02/19/2019,155.55,157.1,155.55,156.65,0.43,+0.28%,15856900
02/20/2019,156.66,157.58,156.53,157.39,0.74,+0.47%,18317300
02/21/2019,157.13,157.37,156.06,156.79,-0.6,-0.38%,17497000
02/22/2019,157.27,158.27,157.1,158.15,1.36,+0.87%,20411800
02/25/2019,159.08,159.5,158.09,158.19,0.04,+0.03%,17957100
02/26/2019,158.01,158.19,156.89,157.1,-1.09,-0.69%,21497300
02/27/2019,156.49,157.44,156.12,157.32,0.22,+0.14%,18194800
02/28/2019,157.09,157.48,156.37,156.78,-0.54,-0.34%,18155200
03/01/2019,157.95,158.34,156.75,158.24,1.46,+0.93%,19247100
03/04/2019,158.54,158.775,155.59,156.81,-1.43,-0.90%,23301800
03/05/2019,156.94,156.95,155.96,156.08,-0.73,-0.47%,16798100
03/06/2019,156.02,156.08,152.88,153.02,-3.06,-1.96%,29604600
03/07/2019,153.02,153.14,151.37,151.68,-1.34,-0.88%,26822400
03/08/2019,150.84,151.76,150.61,151.64,-0.04,-0.03%,20466800
03/11/2019,152.11,154.31,151.9,154.29,2.65,+1.75%,20854500
03/12/2019,154.4,154.98,153.8,154.37,0.08,+0.05%,18966700
03/13/2019,154.92,155.73,154.75,154.98,0.61,+0.40%,24109100
03/14/2019,154.9,155.02,154.2,154.35,-0.63,-0.41%,14217400
03/15/2019,154.53,155.87,154.33,154.76,0.41,+0.27%,22025800
03/18/2019,155.06,156.45,154.48,155.75,0.99,+0.64%,24510100
03/19/2019,156.48,156.53,154.57,154.96,-0.79,-0.51%,18633000
03/20/2019,154.54,155.42,152.41,153.26,-1.7,-1.10%,29463200
03/21/2019,152.73,156.06,152.73,155.27,2.01,+1.31%,31844900
03/22/2019,154.2,154.545,149.57,149.62,-5.65,-3.64%,40663000
03/25/2019,149.48,151.32,148.405,150.28,0.66,+0.44%,26454600
03/26/2019,151.47,152.82,150.79,151.86,1.58,+1.05%,21308500
03/27/2019,151.71,152.21,149.48,151.27,-0.59,-0.39%,23477000
03/28/2019,151.79,152.93,150.93,152.62,1.35,+0.89%,19473200
03/29/2019,153.68,153.97,152.1,153.09,0.47,+0.31%,28298900
04/01/2019,154.29,154.92,153.72,154.76,1.67,+1.09%,20075200
04/02/2019,154.87,154.88,153.5072,154.36,-0.4,-0.26%,18253400
04/03/2019,155.74,156.15,154.73,155.16,0.8,+0.52%,19554700
04/04/2019,155.28,156.01,154.84,155.92,0.76,+0.49%,15909500
04/05/2019,156.3,157.47,156.19,157.38,1.46,+0.94%,21378900
04/08/2019,156.85,157.5,156.07,157.12,-0.26,-0.17%,14202400
04/09/2019,156.46,156.7,154.91,155.2,-1.92,-1.22%,18534100
04/10/2019,155.48,157.36,155.33,157.31,2.11,+1.36%,18938800
04/11/2019,157.52,157.68,156.81,157.11,-0.2,-0.13%,12218600
04/12/2019,158.05,158.16,157.11,157.68,0.57,+0.36%,14120200
04/15/2019,157.95,158.1,156.5,157.17,-0.51,-0.32%,10964000
04/16/2019,157.71,157.8999,156.98,157.54,0.37,+0.24%,16782900
04/17/2019,158.09,158.11,155.2,156.1,-1.44,-0.91%,17108400
04/18/2019,156.11,156.28,154.66,155.64,-0.46,-0.29%,23276300
04/22/2019,155.31,155.81,154.52,155.23,-0.41,-0.26%,15596700
04/23/2019,155.37,158.05,155.36,157.57,2.34,+1.51%,23396000
04/24/2019,157.62,158.69,157.37,158.06,0.49,+0.31%,18053100
04/25/2019,157.33,157.4725,155.47,156.75,-1.31,-0.83%,19365300
04/26/2019,156.96,158.49,156.395,158.27,1.52,+0.97%,16999400
04/29/2019,158.62,159.61,158.49,159.03,0.76,+0.48%,13698800
04/30/2019,159.15,159.19,156.96,158.29,-0.74,-0.47%,24127400
05/01/2019,158.67,158.7329,156.71,156.79,-1.5,-0.95%,17734200
05/02/2019,156.64,158.15,155.6764,157.52,0.73,+0.47%,22715700
05/03/2019,158.31,160.64,158.19,160.53,3.01,+1.91%,20178800
05/06/2019,158.18,161.11,158.01,160.71,0.18,+0.11%,21262000
05/07/2019,159.31,159.87,156.25,157.53,-3.18,-1.98%,25434400
