account,entry_collect,entry_collect.acc_volum,entry_collect.am_range,entry_collect.atr,entry_collect.avol,entry_collect.div_amount,entry_collect.entry_mins,entry_collect.entry_range,entry_collect.exchange,entry_collect.is_ETF,entry_collect.open,entry_collect.pm_end,entry_collect.pm_start,entry_collect.pm_volume,entry_collect.post_end,entry_collect.post_start,entry_collect.post_volume,entry_collect.rvol,entry_collect.rvol1,entry_collect.rvol2,entry_collect.rvol3,entry_collect.rvol4,entry_collect.spy_range,entry_collect.symbol_universe,entry_collect.three_day_open,entry_collect.trade_number,entry_collect.yVolume,entry_collect.z_yHigh,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_collect.high_in_trade,exit_collect.rvol,exit_collect.rvol_flag,exit_collect.step,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
default_account,,101946.0,0.187348825,0.9607762694,1539518.0,0.0,3.0,0.3018402148,N,False,71.7699966431,0.0,0.0,0.0,0.0,0.0,0.0,2.1246645451,4.3098216057,2.2616989613,1.8812047243,1.5977562666,,767.0,0.0103786512,1.0,1000578.0,0.0,6.78,-338.963879089,72.0400009155,4237.0,1.0,2016-02-29 09:38:17.357700,,72.4100036621,1.6366131306,1.0,-1.0,22.83,71.96,-4237.0,-1.0,2016-02-29 10:29:18.057700,4237.0,-338.963879089,QIHU
default_account,,89281.0,0.4986105257,0.3610019088,440866.0,0.0,14.0,0.8033197465,Q,False,8.6999998093,0.0,0.0,0.0,0.0,0.0,0.0,2.7143876553,4.3817420006,4.5540852547,4.5564055443,4.4219703674,,466.0,0.0498220713,1.0,312981.0,0.4155118534,3.2,599.999237061,8.8500003815,2000.0,1.0,2017-05-24 09:49:32.166700,,9.5500001907,3.327337265,,1.0,8.04,9.15,-2000.0,-1.0,2017-05-24 15:30:05.006700,2000.0,599.999237061,ADXS
default_account,,66970.0,0.1682690093,2.5411741734,1024271.0,0.0,3.0,0.3453528029,Q,False,49.2999992371,0.0,0.0,0.0,0.0,0.0,0.0,2.0978286266,2.8968625069,1.5792769194,1.1817699671,1.488194108,,232.0,0.0570824695,1.0,819668.0,0.0059025429,4.55,-1679.73,50.0,2847.0,1.0,2015-10-29 09:38:30.268700,,50.0099983215,1.4477592707,True,-1.0,13.94,49.41,-2847.0,-1.0,2015-10-29 10:08:30.952700,2847.0,-1679.73,CYBR
default_account,,561727.0,0.4005508751,0.6241404414,2162022.0,0.0,22.0,1.1856302236,Q,False,15.3500003815,0.0,0.0,0.0,0.0,0.0,0.0,2.4423348904,0.6220065951,0.3763654232,0.6595585346,0.5290270448,,121.0,0.0410156334,1.0,4596823.0,0.7850793485,5.4,-101.339226837,15.9899997711,3378.0,1.0,2019-03-26 09:57:32.097700,,16.4500007629,2.0440979004,True,-1.0,14.07,15.96,-3378.0,-1.0,2019-03-26 10:35:39.237700,3378.0,-101.339226837,SVMK
default_account,,96150.0,0.1618345581,39.3656806946,2228016.0,0.0,0.0,0.1618345581,Q,False,1389.16003418,29.0,0.0,1792.0,177.0,0.0,221159.0,2.2216210365,6.4461431503,4.3852171898,3.3509435654,2.719142437,,365.0,0.0237518831,2.0,1579247.0,0.0363274224,0.62,2545.8591,1394.56005859,384.0,1.0,2020-05-20 09:35:05.222700,,1406.81994629,0.7963967323,,1.0,13.2,1401.1899,-384.0,-1.0,2020-05-20 11:16:03.409700,384.0,2545.8591,GOOGL
default_account,,75905.0,0.1471295244,39.0812110901,1844208.0,0.0,0.0,0.150456056,Q,False,1389.57995605,29.0,0.0,1476.0,179.0,0.0,98097.0,2.1188464165,5.8585267067,4.0466957092,3.1672358513,2.6127672195,,365.0,0.0230438809,1.0,1280319.0,0.0289142749,0.68,2686.04872559,1393.60998535,425.0,1.0,2020-05-20 09:35:01.594700,,1406.34997559,0.799359262,,1.0,14.6,1399.9301,-425.0,-1.0,2020-05-20 11:10:00.392700,425.0,2686.04872559,GOOG
default_account,,191689.0,0.1790821832,0.3635199964,1746006.0,0.0,9.0,0.3688929403,N,False,3.2300000191,0.0,0.0,0.0,0.0,0.0,0.0,2.0033051968,1.4447921515,0.9391061664,0.6810592413,0.8116061687,,365.0,0.1029900145,7.0,1676767.0,0.1237891679,8.0,2100.00033379,3.3199999332,5000.0,1.0,2020-05-20 09:44:29.316700,,3.75,1.2048796415,,1.0,19.5,3.74,-5000.0,-1.0,2020-05-20 15:30:03.159700,5000.0,2100.00033379,OIS
default_account,,177515.0,0.1958030886,0.612860024,1611442.0,0.0,9.0,0.6037265788,N,False,6.0999999046,29.0,3.0,756.0,0.0,0.0,0.0,2.0100924969,3.6306660175,3.0316698551,2.3545832634,1.8125213385,,365.0,0.097938089,6.0,986094.0,0.4079234902,8.0,-1300.00047684,6.4000000954,5000.0,1.0,2020-05-20 09:44:11.535700,,6.4800000191,1.4200907946,1.0,-1.0,19.76,6.14,-5000.0,-1.0,2020-05-20 10:14:19.856700,5000.0,-1300.00047684,NLS
default_account,,108954.0,0.3026852975,1.3875800371,430851.0,0.0,16.0,0.4540272589,Q,False,16.4300003052,0.0,0.0,0.0,0.0,0.0,0.0,3.0635151863,22.2962417603,11.4146709442,7.9339003563,7.2510504723,,365.0,-0.0205882577,8.0,429438.0,0.0648612334,3.2,2079.99938965,16.6800003052,2000.0,1.0,2020-05-20 09:51:41.361700,,17.9300003052,1.4926240444,,1.0,8.41,17.72,-2000.0,-1.0,2020-05-20 15:30:01.933700,2000.0,2079.99938965,GTHX
default_account,,154990.0,0.3391095816,0.9141600132,1710134.0,0.0,6.0,0.4594382496,N,False,9.5399999619,0.0,0.0,0.0,0.0,0.0,0.0,2.1094973087,8.3489656448,5.5686335564,4.1186833382,3.1216394901,,365.0,0.0516878427,5.0,805979.0,0.350048836,8.0,3349.99866486,9.970000267,5000.0,1.0,2020-05-20 09:41:54.714700,,10.7986001968,1.036583066,,1.0,20.25,10.64,-5000.0,-1.0,2020-05-20 15:30:03.606700,5000.0,3349.99866486,PMT
