Time,Open,High,Low,Last,Change,%Chg,Volume,1day %chg,2day %chg,3day %chg,4day %chg,5day %chg,9day %chg,13day %chg,20day %chg,% of 1day range,% of 2day range,% of 3day range,% of 4day range,% of 5day range,% of 9day range,% of 13day range,% of 20day range,1day high %above,2day high %above,3day high %above,4day high %above,5day high %above,9day high %above,13day high %above,20day high %above,1day low %above,2day low %above,3day low %above,4day low %above,5day low %above,9day low %above,13day low %above,20day low %above,1ma %above,2ma %above,3ma %above,4ma %above,5ma %above,9ma %above,13ma %above,20ma %above,49ma %above,1vwap %above,2vwap %above,3vwap %above,4vwap %above,5vwap %above,9vwap %above,13vwap %above,20vwap %above,49vwap %above 
03/26/2014,117.63,117.68,114.65,114.69,-2.24,-1.92%,69060800,0.59865,0.31554,-0.82624,-1.28399,-1.15126,0.49551,-1.72932,0.2386,37.32719,-3.55987,-27.6699,-27.6699,-27.6699,-27.6699,-31.17783,-18.0,-0.57476,-1.34194,-2.18693,-2.18693,-2.18693,-2.18693,-2.35743,-2.44651,1.28293,1.28293,1.28293,1.28293,1.28293,1.28293,1.28293,1.77366,0.42973,0.2443,-0.26566,-0.47873,-0.60501,-0.51372,-0.66195,-0.63341,1.86221,0.42973,0.2135,-0.2287,-0.37993,-0.52265,-0.44664,-0.5849,-0.63372,2.1057
03/27/2014,114.71,115.38,113.69,114.4,-0.29,-0.25%,65234800,0.01744,-1.89857,-2.17465,-3.28809,-3.73447,-2.40769,-3.84744,-2.7799,-96.0396,-96.72131,-97.37991,-97.86096,-97.86096,-97.86096,-97.86096,-97.97639,-2.52379,-3.04285,-3.79099,-4.615,-4.615,-4.615,-4.615,-4.86814,0.05233,0.05233,0.05233,0.05233,0.05233,0.05233,0.05233,0.05233,-0.83281,-1.45189,-1.77817,-2.27119,-2.53318,-2.81986,-2.87171,-3.03356,-0.67802,-0.83281,-1.33921,-1.73667,-2.15391,-2.33359,-2.66748,-2.7387,-2.97889,-0.44445
03/28/2014,114.48,116,113.98,114.29,-0.11,-0.10%,50557900,0.06993,-0.1831,-2.09527,-2.3708,-3.482,-3.03236,-3.03236,-2.58679,-6.50888,-60.401,-65.80087,-71.48014,-75.95129,-75.95129,-75.95129,-77.06821,-0.78003,-2.71924,-3.23726,-3.9839,-4.80625,-4.80625,-4.80625,-5.05888,0.69487,0.69487,0.69487,0.69487,0.69487,0.69487,0.69487,0.69487,-0.00873,-0.52282,-1.10858,-1.4908,-1.98518,-2.75352,-2.77305,-3.10048,-0.85041,-0.00873,-0.53739,-0.99462,-1.43606,-1.84461,-2.51139,-2.59872,-2.98826,-0.61625
03/31/2014,115.04,116.68,114.63,116.34,2.05,+1.79%,44599200,0.65623,0.55944,0.30517,-1.61635,-1.89323,-3.95725,-2.85425,-1.58268,4.9505,16.88312,-32.33083,-41.55844,-51.26354,-58.90411,-58.90411,-60.81277,-0.82759,-0.82759,-2.24337,-2.76393,-3.51422,-4.3406,-4.3406,-4.59446,0.92999,1.18744,1.18744,1.18744,1.18744,1.18744,1.18744,1.18744,0.2469,0.36351,0.05798,-0.40833,-0.76029,-1.94557,-2.06049,-2.506,-0.34028,0.2469,0.37831,0.03041,-0.34667,-0.7531,-1.72563,-1.88151,-2.39092,-0.1131
04/01/2014,116.63,118.06,116.59,117.87,1.53,+1.32%,47906600,0.24927,2.04742,1.9493,1.69152,-0.25656,-1.9916,-0.35882,-2.67045,95.12195,96.2963,96.65552,47.36842,27.27273,-10.50228,-10.50228,-14.65893,-0.04285,-0.04285,-0.04285,-0.89225,-1.42,-3.01846,-3.01846,-3.27583,1.74474,2.32497,2.58598,2.58598,2.58598,2.58598,2.58598,2.58598,0.64433,1.13597,1.37919,1.24059,0.90322,-0.27204,-0.57379,-1.12946,1.03953,0.64433,1.16692,1.45136,1.26264,0.96829,-0.10771,-0.41388,-1.02256,1.26461
04/02/2014,118.29,118.48,117.71,118.4,0.53,+0.45%,33856400,0.35632,1.67612,3.49987,3.40035,3.1389,-0.73011,0.63808,-1.22745,131.29252,113.41108,111.27451,110.52632,110.52632,40.03044,40.03044,35.69322,0.19482,0.19482,0.19482,0.19482,0.19482,-1.63812,-1.63812,-1.80958,1.4581,3.19288,3.78137,4.04609,4.04609,4.04609,4.04609,4.04609,0.66663,1.36681,1.93118,2.27464,2.27214,1.28596,0.83848,0.36385,2.45801,0.66663,1.34161,1.94885,2.37405,2.34616,1.43882,1.00339,0.57606,2.67731
04/03/2014,118.4,118.44,116.68,117.2,-1.2,-1.01%,38473900,0.0,0.44965,1.77067,3.59612,3.4965,-0.17705,0.28799,-1.11909,79.22078,91.53439,95.84416,96.44444,96.65971,43.379,43.379,38.93805,-0.06752,-0.06752,-0.06752,-0.06752,-0.06752,-1.54665,-1.54665,-1.71827,0.58619,1.55245,3.28884,3.87787,4.14284,4.14284,4.14284,4.14284,0.17203,0.46527,1.02772,1.55608,1.92253,1.45318,0.8758,0.52256,2.53208,0.17203,0.51584,1.09411,1.6801,2.14175,1.5775,1.06223,0.71904,2.75079
04/04/2014,117.96,118.12,114.02,114.49,-2.71,-2.31%,86345904,0.64846,-0.37162,0.07636,1.39247,3.21113,0.59696,-1.51945,-1.45363,45.45455,42.22222,44.97354,72.98701,76.88889,54.15162,29.98478,25.9587,-0.40527,-0.43889,-0.43889,-0.43889,-0.43889,-1.06517,-1.91252,-2.08351,1.09702,1.09702,1.17506,2.905,3.49184,3.75583,3.75583,3.75583,0.44278,0.12024,0.2086,0.59982,1.03063,1.24034,0.56068,0.24958,2.13023,0.44278,0.14077,0.23825,0.65395,1.14764,1.36828,0.73894,0.42105,2.35109
04/07/2014,113.95,114.24,112.08,112.82,-1.67,-1.46%,68537696,-0.47166,-2.77304,-3.75845,-3.3257,-2.05432,-2.54853,-4.2437,-4.48449,-103.41463,-103.16742,-103.13901,-103.13901,-103.13901,-89.14405,-92.08524,-92.08524,-3.53031,-3.79095,-3.82343,-3.82343,-3.82343,-3.82343,-5.24696,-5.24696,-0.06139,-0.06139,-0.06139,-0.06139,-0.06139,0.22869,0.22869,0.22869,-1.37899,-2.18184,-2.65676,-2.74953,-2.5352,-2.01284,-2.62092,-2.98564,-1.36616,-1.37899,-1.87548,-2.24703,-2.42897,-2.29478,-1.81472,-2.41097,-2.78227,-1.16056
04/08/2014,112.81,114.2,112.2,113.61,0.79,+0.70%,60088200,-0.00886,-1.46738,-3.74573,-4.72128,-4.29287,-1.6392,-5.32897,-4.44689,-32.40741,-75.82781,-77.04403,-77.1875,-77.1875,-77.1875,-82.15159,-82.15159,-1.25175,-4.49543,-4.75346,-4.78562,-4.78562,-4.78562,-6.19491,-6.19491,0.65132,0.65132,0.65132,0.65132,0.65132,0.65132,0.65132,0.65132,-0.20935,-1.29927,-2.19634,-2.79748,-3.03977,-2.6135,-3.21978,-3.70712,-2.3665,-0.20935,-1.42306,-1.93484,-2.33472,-2.62828,-2.36798,-2.96199,-3.47454,-2.15985
